CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240
    1, 2,1,6,6,6, 3,6,7,6,6
    2, 3,6,1,6,6, 6,6,6,6,6
    3, 6,6,6,6,6, 2,1,6,6,6
    4, 2,1,6,6,6, 1,6,6,6,6
    5, 4,6,6,3,6, 4,6,6,4,6
    6, 2,1,6,6,6, 4,6,6,2,6
    7, 1,6,6,6,6,96,6,6,6,6
    8, 1,6,6,6,6,96,6,6,6,6
    9, 2,1,6,6,6,96,6,6,6,6
   10, 1,6,6,6,6,96,6,6,6,6
   11, 1,6,6,6,6,96,6,6,6,6
   12, 5,6,6,6,6,96,6,6,6,6
   13, 2,2,6,6,6, 2,1,6,6,6
   14, 3,6,2,6,6, 1,6,6,6,6
   15, 2,1,6,6,6, 7,6,6,6,3
   16, 6,6,6,6,6,96,6,6,6,6
   17, 2,1,6,6,6,97,6,6,6,6
   18, 6,6,6,6,6, 6,6,6,6,6
   19, 6,6,6,6,6, 3,6,2,6,6
   20, 6,6,6,6,6, 4,6,6,4,6
   21, 7,6,6,6,3, 6,6,6,6,6
   22, 4,6,6,4,6, 2,1,6,6,6
   23, 6,6,6,6,6,96,6,6,6,6
   24, 1,6,6,6,6,96,6,6,6,6
   25, 4,6,6,4,6,96,6,6,6,6
   26, 6,6,6,6,6,96,6,6,6,6
   27, 7,6,6,6,3, 7,6,6,6,3
   28, 1,6,6,6,6,96,6,6,6,6
   29, 6,6,6,6,6,96,6,6,6,6
   30, 2,1,6,6,6,97,6,6,6,6
   31, 6,6,6,6,6, 6,6,6,6,6
   32, 1,6,6,6,6,96,6,6,6,6
   33, 1,6,6,6,6,96,6,6,6,6
   34, 2,1,6,6,6,96,6,6,6,6
   35, 5,6,6,6,6,96,6,6,6,6
   36, 1,6,6,6,6, 1,6,6,6,6
   37, 6,6,6,6,6,96,6,6,6,6
   38, 7,6,6,6,3,96,6,6,6,6
   39, 1,6,6,6,6,96,6,6,6,6
   40, 2,1,6,6,6, 6,6,6,6,6
   41, 1,6,6,6,6, 1,6,6,6,6
   42, 5,6,6,6,6, 4,6,6,2,6
   43, 4,6,6,3,6,96,6,6,6,6
   44, 6,6,6,6,6, 7,6,6,6,4
   45, 1,6,6,6,6, 2,1,6,6,6
   46, 2,1,6,6,6, 2,1,6,6,6
   47, 6,6,6,6,6,96,6,6,6,6
   48, 3,6,1,6,6, 3,6,2,6,6
   49, 1,6,6,6,6,96,6,6,6,6
   50, 1,6,6,6,6,96,6,6,6,6
   51, 2,1,6,6,6, 1,6,6,6,6
   52, 7,6,6,6,3, 7,6,6,6,4
   53, 2,1,6,6,6,96,6,6,6,6
   54, 6,6,6,6,6, 6,6,6,6,6
   55, 7,6,6,6,4,96,6,6,6,6
   56, 4,6,6,3,6, 2,1,6,6,6
   57, 2,1,6,6,6, 1,6,6,6,6
   58, 1,6,6,6,6, 1,6,6,6,6
   59, 3,6,1,6,6, 4,6,6,2,6
   60, 6,6,6,6,6,96,6,6,6,6
   61, 1,6,6,6,6, 2,1,6,6,6
   62, 3,6,2,6,6, 2,1,6,6,6
   63, 4,6,6,4,6,96,6,6,6,6
   64, 6,6,6,6,6, 4,6,6,4,6
   65, 2,1,6,6,6, 1,6,6,6,6
   66, 1,6,6,6,6,96,6,6,6,6
   67, 2,1,6,6,6, 7,6,6,6,3
   68, 4,6,6,2,6,96,6,6,6,6
   69, 4,6,6,1,6, 3,6,2,6,6
   70, 2,1,6,6,6,96,6,6,6,6
   71, 2,1,6,6,6, 6,6,6,6,6
   72, 4,6,6,1,6, 2,1,6,6,6
   73, 2,1,6,6,6, 2,1,6,6,6
   74, 2,1,6,6,6,96,6,6,6,6
   75, 2,1,6,6,6, 2,1,6,6,6
   76, 4,6,6,4,6, 6,6,6,6,6
   77, 6,6,6,6,6, 2,1,6,6,6
   78, 6,6,6,6,6, 2,1,6,6,6
   79, 6,6,6,6,6, 2,1,6,6,6
   80, 1,6,6,6,6,96,6,6,6,6
   81, 1,6,6,6,6,96,6,6,6,6
   82, 6,6,6,6,6,96,6,6,6,6
   83, 1,6,6,6,6, 2,1,6,6,6
   84, 6,6,6,6,6, 6,6,6,6,6
   85, 1,6,6,6,6,96,6,6,6,6
   86, 7,6,6,6,3,96,6,6,6,6
   87, 2,1,6,6,6, 3,6,1,6,6
   88, 1,6,6,6,6,96,6,6,6,6
   89, 2,1,6,6,6, 4,6,6,3,6
   90, 1,6,6,6,6,96,6,6,6,6
   91, 7,6,6,6,4,96,6,6,6,6
   92, 6,6,6,6,6, 6,6,6,6,6
   93, 6,6,6,6,6,96,6,6,6,6
   94, 4,6,6,3,6, 6,6,6,6,6
   95, 4,6,6,3,6, 2,1,6,6,6
   96, 6,6,6,6,6, 4,6,6,4,6
   97, 4,6,6,2,6,96,6,6,6,6
   98, 4,6,6,2,6,96,6,6,6,6
   99, 4,6,6,4,6,96,6,6,6,6
  100, 7,6,6,6,3,96,6,6,6,6
  101, 4,6,6,4,6, 4,6,6,3,6
  102, 2,1,6,6,6,97,6,6,6,6
  103, 4,6,6,3,6, 6,6,6,6,6
  104, 7,6,6,6,1, 4,6,6,3,6
  105, 1,6,6,6,6, 1,6,6,6,6
  106,99,6,6,3,6, 6,6,6,6,6
  107, 2,1,6,6,6, 6,6,6,6,6
  108, 6,6,6,6,6,96,6,6,6,6
  109, 7,6,6,6,3, 7,6,6,6,3
  110, 4,6,6,2,6, 7,6,6,6,3
  111, 6,6,6,6,6, 4,6,6,3,6
  112, 7,6,6,6,3, 6,6,6,6,6
  113, 2,1,6,6,6,96,6,6,6,6
  114, 1,6,6,6,6,96,6,6,6,6
  115, 4,6,6,3,6, 2,1,6,6,6
  116, 1,6,6,6,6, 1,6,6,6,6
  117, 4,6,6,4,6, 2,1,6,6,6
  118, 4,6,6,2,6, 4,6,6,3,6
  119, 2,2,6,6,6,96,6,6,6,6
  120, 6,6,6,6,6, 6,6,6,6,6
  121, 2,1,6,6,6, 2,1,6,6,6
  122, 6,6,6,6,6, 6,6,6,6,6
  123, 6,6,6,6,6, 2,1,6,6,6
  124, 7,6,6,6,1,96,6,6,6,6
  125, 1,6,6,6,6, 1,6,6,6,6
  126, 4,6,6,3,6, 4,6,6,3,6
  127, 2,2,6,6,6,96,6,6,6,6
  128, 1,6,6,6,6, 1,6,6,6,6
  129, 4,6,6,3,6,96,6,6,6,6
  130, 4,6,6,4,6, 3,6,1,6,6
  131, 4,6,6,3,6, 2,1,6,6,6
  132, 1,6,6,6,6, 2,1,6,6,6
  133, 1,6,6,6,6,96,6,6,6,6
  134, 6,6,6,6,6, 6,6,6,6,6
  135, 6,6,6,6,6,96,6,6,6,6
  136, 3,6,2,6,6, 2,1,6,6,6
  137, 1,6,6,6,6,96,6,6,6,6
  138, 4,6,6,4,6, 4,6,6,4,6
