CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240,famincg2,ttlincg2
    1, 2,1,6,6,6, 3,6,7,6,6,2,2
    2, 3,6,1,6,6, 6,6,6,6,6,4,1
    3, 6,6,6,6,6, 2,1,6,6,6,4,2
    4, 2,1,6,6,6, 1,6,6,6,6,5,3
    5, 4,6,6,3,6, 4,6,6,4,6,3,1
    6, 2,1,6,6,6, 4,6,6,2,6,3,1
    7, 1,6,6,6,6,96,6,6,6,6,1,1
    8, 1,6,6,6,6,96,6,6,6,6,1,1
    9, 2,1,6,6,6,96,6,6,6,6,1,1
   10, 1,6,6,6,6,96,6,6,6,6,1,1
   11, 1,6,6,6,6,96,6,6,6,6,1,1
   12, 5,6,6,6,6,96,6,6,6,6,2,2
   13, 2,2,6,6,6, 2,1,6,6,6,4,1
   14, 3,6,2,6,6, 1,6,6,6,6,4,2
   15, 2,1,6,6,6, 7,6,6,6,3,2,2
   16, 6,6,6,6,6,96,6,6,6,6,2,2
   17, 2,1,6,6,6,97,6,6,6,6,6,6
   18, 6,6,6,6,6, 6,6,6,6,6,4,4
   19, 6,6,6,6,6, 3,6,2,6,6,4,3
   20, 6,6,6,6,6, 4,6,6,4,6,6,4
   21, 7,6,6,6,3, 6,6,6,6,6,6,2
   22, 4,6,6,4,6, 2,1,6,6,6,2,2
   23, 6,6,6,6,6,96,6,6,6,6,4,4
   24, 1,6,6,6,6,96,6,6,6,6,6,1
   25, 4,6,6,4,6,96,6,6,6,6,2,2
   26, 6,6,6,6,6,96,6,6,6,6,4,4
   27, 7,6,6,6,3, 7,6,6,6,3,5,5
   28, 1,6,6,6,6,96,6,6,6,6,6,1
   29, 6,6,6,6,6,96,6,6,6,6,2,2
   30, 2,1,6,6,6,97,6,6,6,6,3,2
   31, 6,6,6,6,6, 6,6,6,6,6,6,2
   32, 1,6,6,6,6,96,6,6,6,6,2,2
   33, 1,6,6,6,6,96,6,6,6,6,1,1
   34, 2,1,6,6,6,96,6,6,6,6,2,2
   35, 5,6,6,6,6,96,6,6,6,6,3,3
   36, 1,6,6,6,6, 1,6,6,6,6,2,1
   37, 6,6,6,6,6,96,6,6,6,6,4,3
   38, 7,6,6,6,3,96,6,6,6,6,3,3
   39, 1,6,6,6,6,96,6,6,6,6,6,1
   40, 2,1,6,6,6, 6,6,6,6,6,4,1
   41, 1,6,6,6,6, 1,6,6,6,6,2,2
   42, 5,6,6,6,6, 4,6,6,2,6,5,3
   43, 4,6,6,3,6,96,6,6,6,6,2,2
   44, 6,6,6,6,6, 7,6,6,6,4,5,3
   45, 1,6,6,6,6, 2,1,6,6,6,3,1
   46, 2,1,6,6,6, 2,1,6,6,6,6,6
   47, 6,6,6,6,6,96,6,6,6,6,3,3
   48, 3,6,1,6,6, 3,6,2,6,6,5,5
   49, 1,6,6,6,6,96,6,6,6,6,2,2
   50, 1,6,6,6,6,96,6,6,6,6,1,1
   51, 2,1,6,6,6, 1,6,6,6,6,4,1
   52, 7,6,6,6,3, 7,6,6,6,4,1,1
   53, 2,1,6,6,6,96,6,6,6,6,3,3
   54, 6,6,6,6,6, 6,6,6,6,6,6,6
   55, 7,6,6,6,4,96,6,6,6,6,5,5
   56, 4,6,6,3,6, 2,1,6,6,6,4,4
   57, 2,1,6,6,6, 1,6,6,6,6,5,3
   58, 1,6,6,6,6, 1,6,6,6,6,4,1
   59, 3,6,1,6,6, 4,6,6,2,6,4,2
   60, 6,6,6,6,6,96,6,6,6,6,4,4
   61, 1,6,6,6,6, 2,1,6,6,6,5,2
   62, 3,6,2,6,6, 2,1,6,6,6,1,1
   63, 4,6,6,4,6,96,6,6,6,6,2,2
   64, 6,6,6,6,6, 4,6,6,4,6,6,1
   65, 2,1,6,6,6, 1,6,6,6,6,2,1
   66, 1,6,6,6,6,96,6,6,6,6,2,2
   67, 2,1,6,6,6, 7,6,6,6,3,6,2
   68, 4,6,6,2,6,96,6,6,6,6,3,1
   69, 4,6,6,1,6, 3,6,2,6,6,4,2
   70, 2,1,6,6,6,96,6,6,6,6,1,1
   71, 2,1,6,6,6, 6,6,6,6,6,4,2
   72, 4,6,6,1,6, 2,1,6,6,6,5,3
   73, 2,1,6,6,6, 2,1,6,6,6,2,2
   74, 2,1,6,6,6,96,6,6,6,6,1,1
   75, 2,1,6,6,6, 2,1,6,6,6,1,1
   76, 4,6,6,4,6, 6,6,6,6,6,6,2
   77, 6,6,6,6,6, 2,1,6,6,6,6,1
   78, 6,6,6,6,6, 2,1,6,6,6,4,2
   79, 6,6,6,6,6, 2,1,6,6,6,6,2
   80, 1,6,6,6,6,96,6,6,6,6,2,1
   81, 1,6,6,6,6,96,6,6,6,6,4,1
   82, 6,6,6,6,6,96,6,6,6,6,4,4
   83, 1,6,6,6,6, 2,1,6,6,6,1,1
   84, 6,6,6,6,6, 6,6,6,6,6,5,5
   85, 1,6,6,6,6,96,6,6,6,6,5,1
   86, 7,6,6,6,3,96,6,6,6,6,3,3
   87, 2,1,6,6,6, 3,6,1,6,6,6,1
   88, 1,6,6,6,6,96,6,6,6,6,1,1
   89, 2,1,6,6,6, 4,6,6,3,6,5,4
   90, 1,6,6,6,6,96,6,6,6,6,1,1
   91, 7,6,6,6,4,96,6,6,6,6,2,2
   92, 6,6,6,6,6, 6,6,6,6,6,4,4
   93, 6,6,6,6,6,96,6,6,6,6,1,1
   94, 4,6,6,3,6, 6,6,6,6,6,2,1
   95, 4,6,6,3,6, 2,1,6,6,6,1,1
   96, 6,6,6,6,6, 4,6,6,4,6,3,2
   97, 4,6,6,2,6,96,6,6,6,6,2,2
   98, 4,6,6,2,6,96,6,6,6,6,3,3
   99, 4,6,6,4,6,96,6,6,6,6,5,4
  100, 7,6,6,6,3,96,6,6,6,6,3,3
  101, 4,6,6,4,6, 4,6,6,3,6,3,2
  102, 2,1,6,6,6,97,6,6,6,6,5,2
  103, 4,6,6,3,6, 6,6,6,6,6,2,1
  104, 7,6,6,6,1, 4,6,6,3,6,2,1
  105, 1,6,6,6,6, 1,6,6,6,6,2,2
  106,99,6,6,3,6, 6,6,6,6,6,4,2
  107, 2,1,6,6,6, 6,6,6,6,6,6,2
  108, 6,6,6,6,6,96,6,6,6,6,6,6
  109, 7,6,6,6,3, 7,6,6,6,3,6,4
  110, 4,6,6,2,6, 7,6,6,6,3,1,1
